Borough,Neighborhood,Type of Home,Number of Sales,Lowest Sales Price,Average Sales Price,Median Sales Price,Highest Sales Price
Manhattan,ALPHABET CITY,01 ONE FAMILY DWELLINGS,1,3200000,3200000,3200000,3200000
Manhattan,ALPHABET CITY,03 THREE FAMILY DWELLINGS,1,6300000,6300000,6300000,6300000
Manhattan,CHELSEA,01 ONE FAMILY DWELLINGS,3,2421900,7285347,6725000,12709140
Manhattan,CHELSEA,02 TWO FAMILY DWELLINGS,4,4100000,9618750,7237500,19900000
Bronx,WOODLAWN,01 ONE FAMILY DWELLINGS,18,225000,490878,475000,725000
Bronx,WOODLAWN,02 TWO FAMILY DWELLINGS,14,400000,663873,690000,840000
Bronx,WOODLAWN,03 THREE FAMILY DWELLINGS,2,873000,879000,879000,885000
Brooklyn,BATH BEACH,01 ONE FAMILY DWELLINGS,22,550000,924767,850000,1630000
Brooklyn,BATH BEACH,02 TWO FAMILY DWELLINGS,47,200000,1079876,998000,1950000
Brooklyn,BATH BEACH,03 THREE FAMILY DWELLINGS,21,330000,1515313,1499000,2200000
Brooklyn,BAY RIDGE,01 ONE FAMILY DWELLINGS,101,382500,1156503,1100000,3750000
Queens,WOODHAVEN,01 ONE FAMILY DWELLINGS,102,245500,563800,569500,995000
Queens,WOODHAVEN,02 TWO FAMILY DWELLINGS,118,250000,761085,775500,1500000
Queens,WOODHAVEN,03 THREE FAMILY DWELLINGS,15,360200,823413,880000,1130000
Queens,WOODSIDE,01 ONE FAMILY DWELLINGS,30,200000,787693,811000,1053000
Queens,WOODSIDE,02 TWO FAMILY DWELLINGS,26,482500,1225077,1014750,3200000
Queens,WOODSIDE,03 THREE FAMILY DWELLINGS,15,600000,1132779,1200000,1515000
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,72,263133,774850,690000,2575000
Staten Island,ANNADALE,02 TWO FAMILY DWELLINGS,39,400000,863488,900000,1350000
Staten Island,ARDEN HEIGHTS,01 ONE FAMILY DWELLINGS,178,200000,455898,437500,1400000
Staten Island,ARDEN HEIGHTS,02 TWO FAMILY DWELLINGS,28,365000,672891,647500,990441
